capacitor,$0.13
capacitor,$0.13
resistor,$0.007
resistor,$0.007
resistor,$0.007
capacitor,$0.13
resistor,$0.007
resistor,$0.007
resistor,$0.007
resistor,$0.007
capacitor,$0.13
resistor,$0.007
resistor,$0.007
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
ic,$0.5
capacitor,$0.13
resistor,$0.007
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
resistor,$0.007
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
ic,$0.5
capacitor,$0.13
ic,$0.5
ic,$0.5
capacitor,$0.13
ic,$0.5
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
ic,$0.5
resistor,$0.007
resistor,$0.007
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
ic,$0.5
capacitor,$0.13
ic,$0.5
ic,$0.5
ic,$0.5
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
resistor,$0.007
capacitor,$0.13
ic,$0.5
capacitor,$0.13
ic,$0.5
ic,$0.5
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
ic,$0.5
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
capacitor,$0.13
resistor,$0.007
Total,$13.475000000000009
